"Lat","Lon","Code","Vel","Network","Description"
33.94500,-118.38000,14822,372,CDMG,'Los Angeles - Century & Aviation'
33.94600,-118.00000,14840,301,CDMG,'Whittier - Scott & Whittier'
33.95100,-117.44600,13123,372,CDMG,'Riverside - Airport'
33.95100,-117.38800,13914,372,CDMG,'Riverside - Hwy 91 & Central'
33.95200,-118.33500,14537,372,CDMG,'Inglewood - Hollywood Park'
33.96200,-116.50900,12149,301,CDMG,'Desert Hot Springs - Fire Station'
33.96200,-118.37800,14767,372,CDMG,'Los Angeles - Manchester & Osage'
33.96200,-118.06500,14028,301,CDMG,'Santa Fe Springs - Dice & Slausson'
33.96800,-118.14800,14844,301,CDMG,'Bell Gardens - Garfield & Florence'
33.96800,-118.29000,14821,301,CDMG,'Los Angeles - Vermont & 78th'
33.97500,-117.48600,13921,372,CDMG,'Riverside - Limonite & Downey'
33.97600,-118.20800,14825,301,CDMG,'Huntington Park - Saturn & Hood'
33.97600,-118.35400,14044,372,CDMG,'Inglewood - Centinela & La Brea'
33.97900,-117.34400,13915,372,CDMG,'Riverside - I215 & 3rd'
33.99000,-118.31200,14017,301,CDMG,'Los Angeles - Slauson & Western'
33.99100,-118.45900,14985,301,CDMG,'Los Angeles - Venice Blvd & Shell'
33.99100,-118.12100,14041,372,CDMG,'Montebello - Date & Greenwood'
33.99300,-118.39600,14035,301,CDMG,'Culver City - Sepulveda & Sawtelle'
33.99300,-118.34200,14820,372,CDMG,'Los Angeles - 54th & Crenshaw'
33.99600,-118.25500,14826,301,CDMG,'Los Angeles - 52nd & Central'
34.00000,-117.93400,23842,301,CDMG,'City of Industry - Gale & Azusa'
34.00200,-118.07700,24841,301,CDMG,'Pico Rivera - Durfee & Whittier'
34.00400,-118.28700,24039,301,CDMG,'Los Angeles - Vernon & Hoover'
34.00400,-117.05800,23920,464,CDMG,'Yucaipa Valley - Calimesa & Co. Line Rd'
34.00700,-118.43600,24970,372,CDMG,'Los Angeles - Centinela & Venice Blvd'
34.00900,-118.36100,24157,372,CDMG,'Los Angeles - Baldwin Hills'
34.01100,-118.49000,24538,372,CDMG,'Santa Monica - City Hall Grounds'
34.01300,-118.25700,24987,301,CDMG,'Los Angeles - Central & Jefferson'
34.01300,-118.80000,24396,372,CDMG,'Malibu - Point Dume'
34.01600,-119.36200,25169,464,CDMG,'Anacapa Island'
34.01800,-118.14700,23941,372,CDMG,'City of Commerce - Whittier & Gerhart'
34.02100,-118.32500,24984,301,CDMG,'Los Angeles - Exposition & 7th Ave'
34.02100,-116.00900,22161,686,CDMG,'Twentynine Palms - Joshua Tree N.M.'
34.02100,-117.86600,23938,372,CDMG,'Walnut - La Puente & Lemon'
34.02200,-118.28900,24709,301,CDMG,'Los Angeles - USC Grounds'
34.02400,-118.28400,24852,301,CDMG,'Los Angeles - Jefferson & Howard'
34.02500,-118.23100,24034,301,CDMG,'Los Angeles - Santa Fe & Olympic'
34.02800,-118.22200,24727,301,CDMG,'Los Angeles - Olympic & Boyle'
34.02900,-118.40900,24979,372,CDMG,'Los Angeles - I10 & Motor Ave'
34.02900,-118.43300,24909,301,CDMG,'Los Angeles - I10/405 Interchange Grnds'
34.03100,-118.20800,24040,372,CDMG,'Los Angeles - Whittier & Euclid'
34.03200,-118.01900,24850,301,CDMG,'Whittier - Workman Mill Rd & Pomona Fwy'
34.03600,-117.95000,23843,301,CDMG,'La Puente - Amar & Hacienda'
34.03600,-118.37800,24703,301,CDMG,'Los Angeles - La Cienega Geotech Array'
34.03700,-118.17800,24400,372,CDMG,'Los Angeles - Obregon Park'
34.03700,-118.26300,24838,301,CDMG,'Los Angeles - Olive & Pico'
34.03800,-118.27500,24976,301,CDMG,'Los Angeles - I10/110 Interchange Grnds'
34.04000,-118.71100,24018,464,CDMG,'Malibu - Pepperdine Athletic Field'
34.04100,-118.24800,24977,301,CDMG,'Los Angeles - 7th & San Julian'
34.04100,-118.34800,24818,372,CDMG,'Los Angeles - Washington & La Brea'
34.04100,-118.12900,24025,372,CDMG,'Monterey Park - Elmgate & Garfield'
34.04300,-118.27100,24612,301,CDMG,'Los Angeles - Pico & Sentous'
34.04400,-118.44300,24978,301,CDMG,'Los Angeles - I405 & Missouri'
34.04500,-118.52200,24014,372,CDMG,'Pacific Palisades - Sunset & Carey'
34.04900,-118.26700,24975,372,CDMG,'Los Angeles - I110 & 8th St'
34.04900,-118.29000,24816,372,CDMG,'Los Angeles - Vermont & Pico'
34.05000,-118.26000,24753,372,CDMG,'Los Angeles - Griffith Park/Toyon(Fill)'
34.05100,-118.38400,24983,301,CDMG,'Los Angeles - Robertson & Pickford'
34.05300,-118.17100,24592,372,CDMG,'Los Angeles - La Cienega Geotech Array'
34.05600,-118.27400,24980,372,CDMG,'Los Angeles - 7th & Burlington'
34.05600,-117.74800,23525,301,CDMG,'Pomona - 4th & Locust'
34.05800,-118.25200,24839,372,CDMG,'Los Angeles - 1st & Figueroa'
34.05900,-118.47900,24817,301,CDMG,'Los Angeles - Sunset & Kenter'
34.05900,-118.24600,24611,372,CDMG,'Los Angeles - Temple & Hope'
34.06000,-118.44800,24819,301,CDMG,'Los Angeles - Veteran & Wilshire'
34.06200,-118.41600,24390,372,CDMG,'Century City - LACC South'
34.06200,-118.19800,24605,372,CDMG,'Los Angeles - 7-story Univ. Hospital'
34.06200,-118.31500,24833,372,CDMG,'Los Angeles - Wilshire & Western LADOT'
34.06300,-118.41800,24389,372,CDMG,'Century City - LACC North'
34.06300,-117.78400,23837,301,CDMG,'Pomona - Orange Grove & Fairplex'
34.06400,-117.28800,23793,301,CDMG,'San Bernardino - I10/215 E Geotech Array'
34.06400,-117.29400,23792,372,CDMG,'San Bernardino - I10/215 W Geotech Array'
34.06500,-117.29200,23542,372,CDMG,'San Bernardino - E & Hospitality'
34.06600,-117.98300,23773,301,CDMG,'Baldwin Park - I10 & Baldwin Park Blvd'
34.06800,-118.43900,24688,372,CDMG,'Los Angeles - UCLA Grounds'
34.06900,-117.39800,23899,372,CDMG,'Rialto - I10 & Cedar'
34.07000,-118.15000,24461,372,CDMG,'Alhambra - Fremont School'
34.07000,-118.34600,24851,372,CDMG,'Los Angeles - 3rd & La Brea LADOT'
34.07200,-117.33500,23540,372,CDMG,'Colton - 1-story School Gym'
34.07300,-117.93900,23774,301,CDMG,'West Covina - I10 & Pacific Ave'
34.07400,-117.35000,23788,372,CDMG,'Colton - 3-bldg Hospital Complex'
34.07500,-118.21800,24020,372,CDMG,'Los Angeles - I5 & Pasadena Ave'
34.07600,-117.67000,23895,372,CDMG,'Ontario - 4th & Mountain'
34.07700,-118.28600,24853,372,CDMG,'Los Angeles - Beverly Blvd & Virgil'
34.07700,-117.62100,23896,301,CDMG,'Ontario - I10 & 4th'
34.08400,-118.30700,24811,372,CDMG,'Los Angeles - Melrose & Western'
34.08400,-118.10100,24033,372,CDMG,'San Gabriel - Del Mar & Wells'
34.09000,-118.33900,24303,301,CDMG,'Los Angeles - Hollywood Storage Grounds'
34.09100,-117.80700,23328,372,CDMG,'Pomona - Puddingstone Dam'
34.09600,-118.23000,24813,301,CDMG,'Cypress Park - San Fernando & Division'
34.09600,-117.74600,23940,372,CDMG,'Pomona - Garey & Bonita'
34.09700,-118.13000,24030,372,CDMG,'Alhambra - 1st & Woodward'
34.09700,-118.35200,24809,301,CDMG,'Hollywood - Sunset & Fairfax'
34.09700,-117.28600,23780,301,CDMG,'San Bernardino - Mtn. View & Cluster'
34.10000,-117.43400,23912,372,CDMG,'Fontana - Arrow & Sierra'
34.10000,-118.28800,24982,372,CDMG,'Los Angeles - Hollywood Blvd & Hillhurst'
34.10300,-118.31600,24810,301,CDMG,'Hollywood - Franklin & Bronson'
34.10300,-117.28800,23522,301,CDMG,'San Bernardino - 2nd & Arrowhead'
34.10400,-117.57400,23497,301,CDMG,'Rancho Cucamonga - Law & Justice Center'
34.10400,-118.10000,24029,372,CDMG,'San Gabriel - Del Mar & Las Tunas'
34.10800,-118.26300,24812,372,CDMG,'Los Angeles - Rowena & Glendale'
34.10900,-119.06500,25148,372,CDMG,'Point Mugu - Laguna Peak'
34.11300,-117.85000,23836,301,CDMG,'Glendora - Gladstone & Sunflower'
34.11300,-119.11900,25147,301,CDMG,'Point Mugu - Naval Air Station'
34.11500,-118.13000,24401,372,CDMG,'San Marino - Southwestern Academy'
34.12100,-117.73800,23939,372,CDMG,'Claremont - Hwy 30 & Towne'
34.12200,-116.41600,22960,301,CDMG,'Yucca Valley - Hwys 62 & 247'
34.12700,-118.34600,24011,372,CDMG,'Hollywood - Hwy 101 & Barham'
34.13000,-116.31400,22170,372,CDMG,'Joshua Tree - Fire Station'
34.13400,-114.37200,20955,372,CDMG,'Big River - Rio Mesa & Capistrano'
34.13400,-117.25300,23897,301,CDMG,'San Bernardino - Highland & Del Rosa'
34.13500,-117.32200,23898,301,CDMG,'San Bernardino - Medical Cntr & Highland'
34.13900,-118.36400,24865,372,CDMG,'Universal City - Hwy 101 & Lankershim'
34.14000,-118.21000,24814,372,CDMG,'Los Angeles - Colorado & Eagle Rock'
34.14100,-118.87500,24858,301,CDMG,'Thousand Oaks - Lake Sherwood & Potrero'
34.14300,-118.30400,24752,372,CDMG,'Los Angeles - Griffith Park/Toyon(Rock)'
34.14400,-118.26200,24016,372,CDMG,'Glendale - Colorado & Columbus'
34.14500,-119.20600,25281,301,CDMG,'Port Hueneme - Naval Lab (Temp Reloc)'
34.14600,-118.41300,24801,301,CDMG,'Studio City - Ventura & Coldwater Cyn Av'
34.14700,-117.99900,23024,372,CDMG,'Monrovia - Colorada & Myrtle'
34.14800,-118.37100,24012,301,CDMG,'North Hollywood - Hwy 101 & Vineland'
34.14900,-118.15000,24691,372,CDMG,'Pasadena - Fair Oaks & Walnut'
34.14900,-116.08400,22954,372,CDMG,'Twentynine Palms - Two Mile & Alpine'
34.15000,-118.07900,24042,372,CDMG,'Pasadena - I210 & Rosemead'
34.15200,-118.15700,24692,372,CDMG,'Pasadena - Orange Grove & Pasadena'
34.15400,-118.46300,24722,301,CDMG,'Sherman Oaks - Ventura & Columbus'
34.15500,-118.13300,24022,372,CDMG,'Pasadena - I210 & Lake'
34.16000,-118.53400,24764,372,CDMG,'Tarzana - Cedar Hill B'
34.16000,-118.53200,24103,372,CDMG,'Tarzana - Clubhouse'
34.16100,-116.79900,22104,724,CDMG,'Heart Bar State Park'
34.16300,-118.50000,24802,301,CDMG,'Encino - Balboa & Ventura'
34.16300,-118.25500,24945,372,CDMG,'Glendale - Brand Blvd & Stocker'
34.16500,-118.15000,24023,372,CDMG,'Pasadena - Fair Oaks & Hammond'
34.16700,-118.59600,24807,301,CDMG,'Woodland Hills - Canoga & Ventura'
34.16800,-118.37900,24981,301,CDMG,'North Hollywood - Tujunga & Chandler'
34.17000,-117.80800,23908,724,CDMG,'Glendora - Dig Dalton Dam Abut'
34.17200,-118.28900,24943,372,CDMG,'Glendale - Glenoaks & Western'
34.17200,-118.42000,24808,301,CDMG,'Van Nuys - Burbank & Fulton'
34.17300,-118.22900,24946,372,CDMG,'Glendale - Canada & Verdugo'
34.17400,-118.20000,24021,724,CDMG,'Glendale - Chevy Chase & Linda Vista'
34.17700,-118.09600,24402,372,CDMG,'Altadena - Eaton Canyon Park'
34.18000,-118.33600,24947,301,CDMG,'Burbank - Burbank Blvd & Buena Vista'
34.18000,-118.76000,24859,372,CDMG,'Oak Park - Kanan & Deerhill'
34.18300,-117.32100,23672,372,CDMG,'San Bernardino - CSUSB Grounds'
34.18400,-118.44700,24867,301,CDMG,'Van Nuys - Civic Center Grounds'
34.18500,-118.88400,24856,464,CDMG,'Thousand Oaks - Hillcrest & McCloud'
34.18500,-118.62300,24803,301,CDMG,'Woodland Hills - Victory & Fallbrook'
34.18600,-118.92900,24857,301,CDMG,'Newbury Park - Hillcrest & Lawrence'
34.19000,-117.33000,23732,372,CDMG,'San Bernardino - Devil Canyon Penstock'
34.19300,-118.54700,24866,301,CDMG,'Reseda - Vanowen & Wilbur'
34.19400,-118.58900,24013,301,CDMG,'Canoga Park - De Soto & Van Owen'
34.19600,-118.34100,24015,301,CDMG,'Burbank - Thornton & Catalina'
34.19900,-118.39600,24815,301,CDMG,'North Hollywood - Laurel Cyn & Sherman'
34.20700,-118.23300,24010,372,CDMG,'Glendale - Rosemont & Honolulu'
34.20800,-119.07900,25282,301,CDMG,'Camarillo'
34.21700,-119.15300,25969,301,CDMG,'Oxnard - Rose & Gonzales'
34.21900,-118.42900,24765,301,CDMG,'Panorama City - Roscoe & Woodman'
34.21900,-118.62700,24804,301,CDMG,'West Hills - Roscoe & Fallbrook'
34.22200,-118.57000,24806,301,CDMG,'Canoga Park - Winnetka & Roscoe'
34.22400,-118.99400,24863,301,CDMG,'Camarillo - Woodcreek & Santa Rosa'
34.22400,-118.05700,24399,724,CDMG,'Mt. Wilson - Caltech Seismic Station'
34.22900,-118.52700,24805,301,CDMG,'Northridge - Parthenia & Lindley'
34.23000,-118.25300,24944,372,CDMG,'Glendale - Foothill Blvd & New York Ave'
34.23300,-117.66100,23572,372,CDMG,'Mt. Baldy - Elementary School'
34.23600,-118.43900,24087,301,CDMG,'Arleta - Nordhoff Ave Fire Sta'
34.23800,-116.93500,22561,372,CDMG,'Big Bear Lake - Civic Center Grounds'
34.24000,-119.17900,25862,301,CDMG,'Oxnard - Hwy 101 & Oxnard Blvd'
34.24100,-116.87200,22791,301,CDMG,'Big Bear Lake - Fire Station'
34.25700,-118.50300,24986,301,CDMG,'Northridge - Balboa & Devonshire'
34.25700,-118.99500,24864,301,CDMG,'Somis - Somis Rd'
34.25800,-118.30100,24009,372,CDMG,'Tujunga - Foothill & Mt Gleason Ave'
34.26200,-118.66900,24861,301,CDMG,'Simi Valley - Katherine Rd & Sylvan'
34.26200,-119.23000,25725,301,CDMG,'Ventura - Hwy101/Telephone Rd. Bridge'
34.27100,-118.73500,24860,301,CDMG,'Simi Valley - Church St & Los Angeles Av'
34.27300,-118.46400,24800,301,CDMG,'Mission Hills - Sepulveda & San Fernando'
34.27600,-119.29300,25340,301,CDMG,'Ventura - Harbor & California'
34.27700,-119.25200,25747,301,CDMG,'Ventura - County Hospital Grounds'
34.28200,-116.45300,22959,372,CDMG,'Landers - Hwy 247 & Jesse'
34.28700,-118.86300,24738,301,CDMG,'Moorpark - Hwy 23/118 Bridge'
34.28800,-118.88100,24283,301,CDMG,'Moorpark - Fire Station'
34.28800,-118.40700,24714,301,CDMG,'San Fernando - I210/Hwy 118 Bridge'
34.29600,-118.37500,24088,464,CDMG,'Pacoima - Kagel Canyon Fire Sta'
34.31400,-117.54500,23573,372,CDMG,'Wrightwood - Nielson Ranch'
34.32700,-118.44400,24763,372,CDMG,'Sylmar - County Hospital Grounds'
34.33400,-118.50400,24694,372,CDMG,'Sylmar - I5/14 Interchange Bridge'
34.33500,-118.39800,24907,724,CDMG,'Sylmar - Pacoima Dam Downstream'
34.36900,-117.65800,23574,724,CDMG,'Wrightwood - Swarthout Valley'
34.38100,-117.73700,23590,464,CDMG,'Wrightwood - Jackson Flat'
34.38700,-118.53300,24279,301,CDMG,'Newhall - County Fire Sta.'
34.38900,-118.79500,24276,372,CDMG,'Piru'
34.40500,-117.31300,23583,372,CDMG,'Hesperia - 4th & Palm'
34.41300,-118.79600,24855,301,CDMG,'Piru - Church St & Camulos'
34.41500,-119.84600,25392,372,CDMG,'Santa Barbara - UCSB Grounds'
34.42200,-119.85100,25091,301,CDMG,'Santa Barbara - UCSB Goleta'
34.42500,-117.96400,23210,724,CDMG,'Sierra Madre - Cogswell Dam'
34.43000,-119.72400,25782,372,CDMG,'Santa Barbara - Junipero & Castillo'
34.43900,-117.64700,23958,301,CDMG,'Pinon Hills - Hwy 138 & Mountain Rd'
34.43900,-119.75600,25423,372,CDMG,'Santa Barbara - Hwy 101 & State'
34.44800,-119.23000,25854,372,CDMG,'Ojai - Ojai Av & Fairway Ln'
34.45000,-119.73400,25749,372,CDMG,'Santa Barbara - San Roque Canyon Bridge'
34.45800,-117.90900,23584,724,CDMG,'Pearblossom - Pallet Creek'
34.45900,-118.65000,24277,464,CDMG,'Castaic - Hasley Canyon'
34.46700,-117.52000,23597,301,CDMG,'Phelan - Wilson Ranch Road'
